line_no,section_key,raw_title,price_charting_console_id,console_display_name,price_charting_product_id,product_name,console_name,upc,ambiguous,skipped,skip_reason,error
39,xbox 360,LEGO Batman 3,G10,Xbox 360,35307,LEGO Batman 3: Beyond Gotham,Xbox 360,883929427253,yes,,,
40,xbox 360,Left 4 Dead 2,G10,Xbox 360,20012,Left 4 Dead 2,Xbox 360,014633098778,,,,
41,xbox 360,Marvel Ultimate Alliance / Forza 2,G10,Xbox 360,31680,Marvel Ultimate Alliance & Forza 2,Xbox 360,827307789458,,,,
42,xbox 360,Mass Effect 3,G10,Xbox 360,32592,Mass Effect 3,Xbox 360,014633195859,,,,
43,xbox 360,Red Dead Redemption GOTY,G10,Xbox 360,21298,Red Dead Redemption,Xbox 360,710425395741,,,,
44,xbox 360,Sonic Generations,G10,Xbox 360,32200,Sonic Generations,Xbox 360,010086680560,,,,
45,xbox 360,Soul Calibur IV,G10,Xbox 360,14099,Soul Calibur IV,Xbox 360,722674210058,,,,
46,xbox 360,Spiderman 3,G10,Xbox 360,10668,Spiderman 3,Xbox 360,047875819399,,,,
47,xbox 360,Too Human,G10,Xbox 360,14565,Too Human,Xbox 360,882224355261,,,,
49,xbox live arcade,Kinect Adventures,G10,Xbox 360,31052,Kinect Adventures,Xbox 360,717565888225,,,,
50,xbox live arcade,Dance Central,G10,Xbox 360,30634,Dance Central,Xbox 360,885370227048,,,,
51,xbox live arcade,Call of Duty MW3,G10,Xbox 360,8013143,Turtle Beach Ear Force Delta Call Of Duty MW3 Headset,Xbox 360,,,,,
52,xbox live arcade,Halo 3,G10,Xbox 360,9084,Halo 3,Xbox 360,882224444477,,,,
55,ps3,Best of PSN Volume 1,G12,Playstation 3,34404,Best of PlayStation Network Vol. 1,Playstation 3,711719992059,,,,
56,ps3,LittleBigPlanet,G12,Playstation 3,15824,LittleBigPlanet,Playstation 3,711719819929,,,,
57,ps3,Prototype,G12,Playstation 3,19262,Prototype,Playstation 3,047875836136,,,,
58,ps3,Rayman Origins,G12,Playstation 3,32301,Rayman Origins,Playstation 3,008888346852,,,,
59,ps3,Zumba,G12,Playstation 3,30721,Zumba Fitness,Playstation 3,096427016885,,,,
60,ps3,Call of Duty Ghosts,G12,Playstation 3,34508,Call of Duty Ghosts,Playstation 3,047875846777,,,,
63,xone,Rayman Legends,G54,Xbox One,34694,Rayman Legends,Xbox One,008888539032,,,,
64,xone,Rise of the Tomb Raider,G54,Xbox One,36258,Rise of the Tomb Raider,Xbox One,885370982299,,,,
67,ps4,Days Gone,G53,Playstation 4,58290,Days Gone,Playstation 4,711719504757,,,,
70,ps2,Alfa Romeo Racing Italiano,G7,Playstation 2,10749,Alfa Romeo Racing Italiano,Playstation 2,853333001035,,,,
71,ps2,Call of Duty 3,G7,Playstation 2,5050,Call of Duty 3,Playstation 2,047875816336,,,,
72,ps2,Final Fantasy X-2,G7,Playstation 2,5223,Final Fantasy X-2,Playstation 2,662248903057,,,,
73,ps2,Jaws Unleashed,G7,Playstation 2,5358,Jaws Unleashed,Playstation 2,096427014096,,,,
74,ps2,Thunderstrike Operation Phoenix,G7,Playstation 2,5915,Thunder Strike: Operation Phoenix,Playstation 2,788687500043,,,,
75,ps2,Tiger Woods PGA Tour 2005,G7,Playstation 2,5920,Tiger Woods 2005,Playstation 2,014633147971,,,,
76,ps2,Need for Speed UNderground,G7,Playstation 2,5579,Need for Speed Underground,Playstation 2,014633147025,,,,
77,ps2,Ratchet Deadlocked,G7,Playstation 2,5671,Ratchet Deadlocked,Playstation 2,711719746522,,,,
78,ps2,Ratchet Going Commando,G7,Playstation 2,5669,Ratchet & Clank Going Commando,Playstation 2,711719726821,yes,,,
79,ps2,Ratchet and Clank Up your Arsenal,G7,Playstation 2,5670,Ratchet & Clank Up Your Arsenal,Playstation 2,711719735250,yes,,,
80,ps2,Guitar Hero World Tour,G7,Playstation 2,15036,Guitar Hero World Tour,Playstation 2,047875954779,,,,
81,ps2,Spider-man,G7,Playstation 2,5799,Spiderman 2,Playstation 2,047875808294,yes,,,
82,ps2,Ford vs Chevy,G7,Playstation 2,11458,Ford vs Chevy,Playstation 2,710425277085,,,,
84,ps2,"Growlanser Generations Disc 1 (loose, disc 1 only)",G7,Playstation 2,3152506,Battlefield 2 Modern Combat [Online-Only Demo Disc],Playstation 2,,yes,,,
85,ps2,slim AC adapter,G7,Playstation 2,,,,,,yes,accessory_or_non_software,
86,ps2,PS2 AV Cables,G7,Playstation 2,,,,,,yes,accessory_or_non_software,
89,wii,Call of Duty World at War,G11,Wii,15934,Call of Duty World at War,Wii,047875834392,,,,
90,wii,Mariokart Wii,G11,Wii,13229,Mario Kart Wii,Wii,045496902377,yes,,,
91,wii,Mario Party 8,G11,Wii,10788,Mario Party 8,Wii,045496900045,,,,
92,wii,New Super Mario Bros Wii,G11,Wii,70897,New Super Mario Bros Wii [White Case],Wii,,,,,
93,wii,Sonic and the Secret Rings,G11,Wii,11033,Sonic and the Secret Rings,Wii,010086650020,,,,
94,wii,Super Smash Brothers Brawl,G11,Wii,11865,Super Smash Bros. Brawl,Wii,045496900397,yes,,,
95,wii,Wii Play,G11,Wii,13255,Wii Play,Wii,045496900069,,,,
96,wii,Shaun White Skateboarding,G11,Wii,30347,Shaun White Skateboarding,Wii,008888176275,,,,
97,wii,Amazing Race,G11,Wii,30654,The Amazing Race,Wii,008888176206,,,,
98,wii,Skylanders Swap Force,G11,Wii,2021457,Skylanders Swap Force,Wii,799471354735,,,,
99,wii,Skylanders Swap Force,G11,Wii,2021457,Skylanders Swap Force,Wii,799471354735,,,,
100,wii,Skylanders Swap Force,G11,Wii,2021457,Skylanders Swap Force,Wii,799471354735,,,,
101,wii,uDraw Studio,G11,Wii,30741,uDraw Studio,Wii,785138304168,,,,
102,wii,Wii Fit,G11,Wii,32420,Wii Fit (game Only),Wii,045496901073,yes,,,
103,wii,Disney Sing It Pop Hits,G11,Wii,19692,Disney Sing It: Pop Hits,Wii,712725018092,yes,,,
104,wii,Disney Sing It Pop Hits,G11,Wii,19692,Disney Sing It: Pop Hits,Wii,712725018092,yes,,,
106,wiiu,Disney Infinity,G47,Wii U,68939,Disney Infinity [2.0 Edition],Wii U,712725026271,yes,,,
107,wiiu,Hot Wheels Worlds Best Driver,G47,Wii U,34280,Hot Wheels: World's Best Driver,Wii U,883929360734,,,,
108,wiiu,LEGO Jurassic Park,G47,Wii U,3401015,LEGO Jurassic Park,JP Wii U,4548967214116,,,,
109,wiiu,Sonic Boom Rise of Lyric,G47,Wii U,35313,Sonic Boom: Rise of Lyric,Wii U,010086671100,,,,
112,psx,Crash Bandicoot Warped,G6,Playstation,4338,Crash Bandicoot Warped,Playstation,711719424420,,,,
113,psx,Crash Bandicoot,G6,Playstation,4336,Crash Bandicoot [Black Label],Playstation,711719490029,yes,,,
114,psx,Pro Pinball,G6,Playstation,12811,Pro Pinball,Playstation,040421893171,,,,
115,psx,Tetris Plus,G6,Playstation,4816,Tetris Plus,Playstation,032264500057,,,,
116,psx,NFL Blitz,G6,Playstation,14321,NFL Blitz,Playstation,031719268047,,,,
119,sega cd,National Hockey Night,G23,Sega CD,14712,ESPN National Hockey Night,Sega CD,735009215505,,,,
120,sega cd,Sewer Shark,G23,Sega CD,13719,Sewer Shark,Sega CD,090451601031,,,,
121,sega cd,Sewer Shark,G23,Sega CD,13719,Sewer Shark,Sega CD,090451601031,,,,
124,dreamcast,4x VMU Sega,G16,Sega Dreamcast,,,,,,yes,accessory_or_non_software,
125,dreamcast,Sega Bass Fishing,G16,Sega Dreamcast,9705,Sega Bass Fishing,Sega Dreamcast,010086510065,,,,
128,pc,3D Ultra Pinball Creep Night,G145,PC Games,156627,3D Ultra Pinball: Creep Night,PC Games,020626704281,,,,
129,pc,"Sims 4 Disc 1 (loose, disc 1 only)",G145,PC Games,4247869,Puppet Combo Demo Disc 1,PC Games,,,,,
132,cdi,Battleship,G37,CD-i,21408,Battleship,CD-i,073106900338,,,,
135,saturn,Myst (broken case),G14,Sega Saturn,9394,Myst,Sega Saturn,021481820406,,,,
136,saturn,Scud,G14,Sega Saturn,9701,Scud The Disposable Assassin,Sega Saturn,606901140038,,,,
137,saturn,World Series Baseball 98,G14,Sega Saturn,10186,World Series Baseball 98,Sega Saturn,010086811278,,,,
138,saturn,Saturn controller,G14,Sega Saturn,,,,,,yes,accessory_or_non_software,
139,saturn,Saturn controller,G14,Sega Saturn,,,,,,yes,accessory_or_non_software,
140,saturn,Saturn Arcade Stick (Sega),G14,Sega Saturn,45780,Arcade Stick,Sega Saturn,010086801125,,,,
143,psp,Secret Agent Clank,G9,PSP,13915,Secret Agent Clank,PSP,711719869726,,,,
144,psp,Killzone Liberation,G9,PSP,9206,Killzone Liberation,PSP,711719864622,,,,
147,gamecube,Sonic Mega Collection,G3,Gamecube,3544,Sonic Mega Collection,Gamecube,010086610239,,,,
150,gameboy,Super Black Bass,G49,GameBoy,13665,Super Black Bass,GameBoy,093455100180,,,,
151,gameboy,Super Mario Land,G49,GameBoy,3059,Super Mario Land,GameBoy,045496730048,,,,
152,gameboy,Super Mario Land 2,G49,GameBoy,3060,Super Mario Land 2,GameBoy,045496730253,,,,
153,gameboy,Super Mario Land 2,G49,GameBoy,3060,Super Mario Land 2,GameBoy,045496730253,,,,
154,gameboy,Super RC Pro Am,G49,GameBoy,16470,Super R.C. Pro-Am,GameBoy,045496730161,yes,,,
157,gameboy color,Super Mario Bros Deluxe,G2,GameBoy Color,3058,Super Mario Bros Deluxe,GameBoy Color,045496730925,,,,
158,gameboy color,Harry Potter,G2,GameBoy Color,14105,Harry Potter,GameBoy Color,,,,,
159,gameboy color,Carmageddon,G2,GameBoy Color,2783,Carmageddon,GameBoy Color,091493444006,,,,
162,gameboy advance,Super Dodge Ball,G1,GameBoy Advance,2597,Super Dodge Ball Advance,GameBoy Advance,730865850013,,,,
165,nes,Baseball Stars,G17,NES,12198,Baseball Stars,NES,018484205002,,,,
166,nes,Goal,G17,NES,12248,Goal,NES,032264900062,,,,
167,nes,RBI Baseball,G17,NES,9635,RBI Baseball,NES,031763021124,,,,
168,nes,Super Mario Bros / Duck Hunt,G17,NES,12451,Super Mario Bros and Duck Hunt,NES,024634562468,yes,,,
169,nes,Super Mario Bros / Duck Hunt,G17,NES,12451,Super Mario Bros and Duck Hunt,NES,024634562468,yes,,,
170,nes,NES controller,G17,NES,,,,,,yes,accessory_or_non_software,
171,nes,NES controller,G17,NES,,,,,,yes,accessory_or_non_software,
172,nes,NES controller,G17,NES,,,,,,yes,accessory_or_non_software,
173,nes,Quickshot Arcade stick,G17,NES,,,,,,yes,accessory_or_non_software,
176,snes,Tecmo Super NBA Basketball,G13,Super Nintendo,16381,Tecmo Super NBA Basketball,Super Nintendo,018946090009,,,,
177,snes,Tetris Attack,G13,Super Nintendo,7172,Tetris Attack,Super Nintendo,045496830533,,,,
178,snes,Congo's Caper,G13,Super Nintendo,6893,Congo's Caper,Super Nintendo,013252011045,,,,
179,snes,Uniracers,G13,Super Nintendo,7224,Uniracers,Super Nintendo,045496830328,,,,
180,snes,Pelican SNES controller,G13,Super Nintendo,,,,,,yes,accessory_or_non_software,
183,n64,Allstar Baseball 99,G4,Nintendo 64,3679,All-Star Baseball 99,Nintendo 64,021481641445,,,,
184,n64,Tony Hawk Pro Skater,G4,Nintendo 64,3933,Tony Hawk,Nintendo 64,047875108202,,,,
185,n64,NBA Courtside,G4,Nintendo 64,3845,Kobe Bryant in NBA Courtside,Nintendo 64,045496870263,yes,,,
186,n64,NBA Courtside,G4,Nintendo 64,3845,Kobe Bryant in NBA Courtside,Nintendo 64,045496870263,yes,,,
187,n64,N64 AV cables,G4,Nintendo 64,,,,,,yes,accessory_or_non_software,
190,ds,Nanostray,G5,Nintendo DS,4094,Nanostray,Nintendo DS,096427013952,,,,
191,ds,Style Savvy,G5,Nintendo DS,21549,Style Savvy,Nintendo DS,045496740481,,,,
194,3ds,Epic Mickey Power of Illusion,G39,Nintendo 3DS,33404,Epic Mickey: Power of Illusion,Nintendo 3DS,712725020187,,,,
195,3ds,The Hidden,G39,Nintendo 3DS,2253083,Charizard GX Hidden Fates Tin,Pokemon Hidden Fates,,yes,,,
196,3ds,The Hidden,G39,Nintendo 3DS,2253083,Charizard GX Hidden Fates Tin,Pokemon Hidden Fates,,yes,,,
197,3ds,Pinball Hall of Fame Williams COllection,G39,Nintendo 3DS,31475,Pinball Hall of Fame: The Williams Collection,Nintendo 3DS,650008500974,,,,
198,3ds,Mario and Sonic London 2012 Olympic Games,G39,Nintendo 3DS,32492,Mario & Sonic at the London 2012 Olympic Games,Nintendo 3DS,010086611069,yes,,,
199,3ds,Shovel Knight,G39,Nintendo 3DS,36232,Shovel Knight,Nintendo 3DS,812303010415,,,,
200,3ds,Nano Assault,G39,Nintendo 3DS,32357,Nano Assault,Nintendo 3DS,096427017417,,,,
201,3ds,Nano Assault,G39,Nintendo 3DS,32357,Nano Assault,Nintendo 3DS,096427017417,,,,
202,3ds,Trash Pack,G39,Nintendo 3DS,33264,Trash Pack,Nintendo 3DS,047875767225,,,,
205,genesis,Tiny Toon Adventures Acme All-Stars,G15,Sega Genesis,10023,Tiny Toon Adventures ACME All-Stars,Sega Genesis,083717160106,,,,
206,genesis,Two Crude Dudes,G15,Sega Genesis,16146,Two Crude Dudes,Sega Genesis,013252014015,,,,
207,genesis,Cyborg Justice,G15,Sega Genesis,8797,Cyborg Justice,Sega Genesis,010086010244,,,,
208,genesis,Battletoads and Double Dragon (destroyed label),G15,Sega Genesis,8585,Battletoads,Sega Genesis,031719209200,,,,
211,game gear,Monster Truck Wars,G20,Sega Game Gear,18316,Monster Truck Wars,Sega Game Gear,021481510024,,,,
212,game gear,Mighty Morphin Power Rangers,G20,Sega Game Gear,18313,Mighty Morphin Power Rangers,Sega Game Gear,010086025484,,,,
213,game gear,The Majors,G20,Sega Game Gear,18302,Majors Pro Baseball,Sega Game Gear,010086024180,,,,
214,game gear,Legend of Illusion,G20,Sega Game Gear,18294,Legend of Illusion Starring Mickey Mouse,Sega Game Gear,010086025330,,,,
215,game gear,Jurassic Park,G20,Sega Game Gear,18287,Jurassic Park,Sega Game Gear,010086025118,,,,
216,game gear,G Loc,G20,Sega Game Gear,18262,G-LOC Air Battle,Sega Game Gear,010086023015,,,,
217,game gear,Shining Force Sword of Haiya,G20,Sega Game Gear,18386,Shining Force Sword of Hajya,Sega Game Gear,010086025248,,,,
218,game gear,Ristar,G20,Sega Game Gear,18373,Ristar,Sega Game Gear,010086025439,,,,
219,game gear,NHL All-Star,G20,Sega Game Gear,18327,NHL All-Star Hockey,Sega Game Gear,010086025347,,,,
220,game gear,Ren and Stimpy Quest for the Shaven Yak,G20,Sega Game Gear,18369,Ren and Stimpy Quest for the Shaven Yak,Sega Game Gear,010086025194,,,,
221,game gear,Sonic the Hedgehog,G20,Sega Game Gear,18404,Sonic the Hedgehog,Sega Game Gear,010086024081,,,,
222,game gear,Sonic 2,G20,Sega Game Gear,7747063,Sega Game Gear [Sonic 2 Pack],Sega Game Gear,010086021318,,,,
223,game gear,Sonic Chaos,G20,Sega Game Gear,18398,Sonic Chaos,Sega Game Gear,096427012047,,,,
224,game gear,Sonic Triple Trouble,G20,Sega Game Gear,18406,Sonic the Hedgehog: Triple Trouble,Sega Game Gear,010086025309,,,,
225,game gear,Super Columns,G20,Sega Game Gear,18421,Super Columns,Sega Game Gear,010086024494,,,,
226,game gear,World Series Baseball,G20,Sega Game Gear,18462,World Series Baseball,Sega Game Gear,010086024395,,,,
229,intellivision,Space Armada,G27,Intellivision,16830,Space Armada,Intellivision,,,,,
230,intellivision,Space Battle,G27,Intellivision,16831,Space Battle,Intellivision,,,,,
231,intellivision,Beauty and the Beast,G27,Intellivision,16757,Beauty & The Beast,Intellivision,,yes,,,
234,atari 7800,Donkey Kong,G33,Atari 7800,20143,Donkey Kong,Atari 7800,077000502100,,,,
235,atari 7800,Food Fight,G33,Atari 7800,35528,Food Fight - Trap Team,Skylanders,714833395331,yes,,,
236,atari 7800,Pole Position II,G33,Atari 7800,20181,Pole Position II,Atari 7800,077000502117,,,,
237,atari 7800,Ball Blazer,G33,Atari 7800,7812252,Ball Blazer Champions,Playstation,,,,,
239,atari 7800,Misc,G33,Atari 7800,4558301,"Minsc & Boo, Timeless Heroes #285",Magic Commander Legends: Battle for Baldur's Gate,,,,,
240,atari 7800,Donkey Kong plush,G33,Atari 7800,,,,,,yes,accessory_or_non_software,
241,atari 7800,Hitman 47 DVD,G33,Atari 7800,,,,,,yes,accessory_or_non_software,
242,atari 7800,Tamagotchi,G33,Atari 7800,,,,,,yes,accessory_or_non_software,
243,atari 7800,Wii Racing Wheel,G33,Atari 7800,,,,,,yes,accessory_or_non_software,
